Date,Quantity,Item,Price ,Sales
4/17/2021,1,Paul Div. 48,"7,725.00",7416
4/17/2021,1,Dave Div. 60,"8,380.00",8044.8
4/17/2021,1,Jonas Apa. 48,"6,575.00",6312
4/17/2021,1,Platera 48,"6,975.00",6696
4/17/2021,1,Jethro Apa. 60,"7,930.00",7612.8
4/20/2021,4,Dining 4 seaters,"5,193.60",20774.4
4/20/2021,2,Dining 6's,"6,681.60",13363.2
4/20/2021,3,Dining 8's,"8,107.20",24321.6
4/20/2021,1,Corner A. W/ stool,"13,680.00",13680
4/20/2021,1,Imelda 311,"9,054.95",9054.95
4/20/2021,1,Imelda 4's A,"8,860.95",8860.95
4/21/2021,1,DD 48x75,"4,641.60",4641.6
4/21/2021,2,DD 36x60,"5,169.60",10339.2
4/21/2021,2,SB 36x75,"2,577.60",5155.2
4/21/2021,1,SB 54x75,"3,009.60",3009.6
4/21/2021,2,DD 36x54,"4,833.60",9667.2
4/21/2021,3,SB 60x75,"3,105.60",9316.8
4/21/2021,1,Jillenne,"6,734.40",6734.4
4/21/2021,1,Marco,"5,822.40",5822.4
4/21/2021,1,Anita Coffe Table,"5,441.70",5441.7
4/21/2021,1,DD 36x48,"4,641.60",4641.6
4/21/2021,1,DD 36x60,"5,169.60",5169.6
4/21/2021,3,SB 36x75,"2,577.60",7732.8
4/21/2021,1,SB 60x75,"3,105.60",3105.6
4/21/2021,1,DD 36x54,"4,833.60",4833.6
4/21/2021,1,Jillenne,"6,734.40",6734.4
4/23/2021,1,Francia,"14,832.00",14832
4/26/2021,1,SB 60x75,"4,280.00",4280
4/26/2021,1,SB 48x75,"4,280.00",4280
4/26/2021,1,Dave Div. 60,"4,280.00",4280
4/26/2021,1,Jonas Apa. 48,"4,280.00",4280
4/27/2021,6,Dining Chair 102,681.6,4089.6
4/27/2021,1,Dining 6's,"6,681.60",6681.6
4/27/2021,2,Dining 8's,"8,107.20",16214.4
4/27/2021,2,SB 36x75,"2,577.60",5155.2
4/27/2021,5,Center Table w/ 3/8,"1,339.20",6696
4/27/2021,1,Clarisse,"9,648.00",9648
4/27/2021,1,Wennylen,"8,750.40",8750.4
4/29/2021,1,Imelda 4's A,"8,769.60",8769.6
4/29/2021,3,Imelda 4's W ,"8,577.60",25732.8
4/29/2021,1,Francia,"14,832.00",14832
4/29/2021,1,Lalie,"11,232.00",11232
4/29/2021,1,Le Bron,"12,912.00",12912
4/29/2021,3,SB 54x75,"3,009.60",9028.8
4/29/2021,3,SB 60x75,"3,105.60",9316.8
05/04/2021,4,SB 36x75,"3,120.00",12480
05/04/2021,4,SB 48x75,"3,471.00",13884
05/04/2021,4,SB 54x75,"3,861.00",15444
05/04/2021,4,DD 36x36,"5,362.50",21450
05/04/2021,4,DD 36x48,"5,557.50",22230
05/04/2021,3,DD 36x54,"5,908.50",17725.5
05/04/2021,4,Dining 4's,"5,460.00",21840
05/04/2021,8,Dining 6's,"7,683.00",61464
05/04/2021,2,Dining 6's,"7,845.00",15690
05/04/2021,1,SB 48x75,"3,579.00",3579
05/04/2021,1,SB 48x75,"3,579.00",3579
05/04/2021,2,Imelda 4's W,"8,935.00",17870
05/04/2021,3,SB 36x75,"2,685.00",8055
05/04/2021,1,SB 36x75 FC,"2,885.00",2885
05/04/2021,2,SB 54x75,"3,135.00",6270
05/04/2021,1,Jethro Apa. 60,"7,930.00",7930
05/04/2021,1,Francia,"15,450.00",15450
05/05/2021,4,Dining 4's,"6,416.00",25664
05/05/2021,2,Dining 6's,"8,320.00",16640
05/05/2021,1,Dining 8's,"10,496.00",10496
05/05/2021,2,SB 36x75,"6,960.00",13920
05/05/2021,1,SB 54x75,"4,336.00",4336
05/05/2021,1,DD 36x54,"6,600.00",6600
05/05/2021,1,DD 36x48,"6,440.00",6440
05/05/2021,3,Marco,"6,065.00",18195
05/05/2021,1,Chloe,"6,065.00",6065
05/05/2021,2,Chelsea,"6,065.00",12130
05/05/2021,1,Bubbles,"6,065.00",6065
05/05/2021,1,Wennylen,"9,115.00",9115
05/05/2021,3,Dining 6's,"6,960.00",20880
05/05/2021,1,DD 36x54,"5,035.00",5035
05/05/2021,1,DD 36x60,"5,385.00",5385
05/05/2021,2,SB 54x75,"3,035.00",6070
05/05/2021,1,Francia,"15,450.00",15450
05/06/2021,4,DD 36x36,"4,685.00",18740
05/06/2021,2,SB 54x75,"3,135.00",6270
05/06/2021,2,Marco,"6,065.00",12130
05/06/2021,2,Jillienne,"7,015.00",14030
05/06/2021,1,Corner Adams w/ Stool,"14,250.00",14250
05/06/2021,3,Francia,"15,450.00",46350
05/06/2021,1,Metal Divider ,"4,500.00",4500
05/06/2021,1,OT 24x48,"3,206.00",3206
05/06/2021,1,Angeline,"19,312.50",19312.5
05/06/2021,2,DD 36x36,"11,100.00",22200
05/06/2021,1,Dining 4's,"6,015.00",6015
05/06/2021,1,lalie,"11,700.00",11700
05/06/2021,1,Steffanie,"12,500.00",12500
05/06/2021,1,Clarisse,"10,050.00",10050
05/06/2021,1,Angeline,"9,065.00",9065
05/06/2021,1,Celine,"9,115.00",9115
05/06/2021,1,Hazelle,"9,015.00",9015
05/06/2021,1,Wennylen,"9,115.00",9115
05/06/2021,1,Michelle,"9,115.00",9115
05/06/2021,1,Platera 60,"8,580.00",8580
05/07/2021,1,SB 36x75,"2,685.00",2685
05/07/2021,2,Jonas Apa. 48,"6,575.00",13150
05/12/2021,1,Dave ,"8,940.00",8940
05/12/2021,1,Liera 60,"9,802.50",9802.5
05/12/2021,1,Platera 60,"8,550.00",8550
05/12/2021,1,Jethro Apa. 60,"8,445.00",8445
05/12/2021,1,Jessa,"8,812.50",8812.5
05/12/2021,1,California,"15,000.00",15000
05/12/2021,2,Dining 6's,"7,800.00",15600
05/12/2021,1,Platera 60 Spcl.,"8,250.00",8250
05/12/2021,1,Dave ,"8,940.00",8940
05/12/2021,1,Platera 48,"6,952.50",6952.5
05/12/2021,1,Platera 48 Spcl.,"7,125.00",7125
05/12/2021,3,Dining 6's,"7,800.00",23400
05/12/2021,2,SB 36x75,"3,262.50",6525
05/12/2021,2,SB 54x75,"4,065.00",8130
05/12/2021,2,DD 36x36,"5,550.00",11100
05/12/2021,2,DD 36x48,"6,037.50",12075
05/12/2021,2,DD 36x54,"6,187.50",12375
05/12/2021,2,DD 36x60,"6,525.00",13050
05/12/2021,2,Dining 4's,"6,015.00",12030
05/12/2021,2,Dining 6's,"7,800.00",15600
05/12/2021,2,Dining 8's,"9,840.00",19680
05/12/2021,1,Jethro Apa. 60,"8,445.00",8445
05/12/2021,1,Ruth Apa. 48,"7,012.50",7012.5
05/12/2021,1,Dining 6's,"6,960.00",6960
05/12/2021,5,Center w/ 3/8,"1,395.00",6975
05/12/2021,1,Francia,"15,450.00",15450
05/12/2021,2,DD 36x36,"4,685.00",9370
05/12/2021,2,DD 36x48,"4,835.00",9670
05/12/2021,1,DD 36x54,"5,035.00",5035
05/12/2021,2,SB 60x75,"3,235.00",6470
5/14/2021,1,Francia,"15,450.00",15450
5/14/2021,2,SB 54x75,"3,960.00",7920
5/14/2021,2,Side Table 3/8,"1,432.00",2864
5/18/2021,1,Dining 6's,"7,880.00",7880
5/20/2021,4,Jilliene,"7,015.00",28060
5/20/2021,2,Corner Adams w/ Stool,"14,250.00",28500
5/20/2021,1,SB 36x75,"2,685.00",2685
5/20/2021,1,Jillienne,"7,115.00",7115
5/20/2021,3,OT 20x40,"2,910.00",8730
5/20/2021,1,Dining 6's,"7,800.00",7800
5/20/2021,3,Dining Chair,772.5,2317.5
5/20/2021,4,Esmeralda 4's,"10,335.00",41340
5/20/2021,2,Imelda 4's W,"8,935.00",17870
5/21/2021,2,Imelda  4's A,"9,135.00",18270
5/21/2021,2,Francia,"15,450.00",30900
5/21/2021,2,SB 54x75,"3,135.00",6270
5/21/2021,1,Dining 6's,"6,960.00",6960
5/21/2021,1,Spanish,"9,135.00",9135
5/21/2021,1,Esmeralda 4's,"10,335.00",10335
5/21/2021,1,Dave ,"8,380.00",8380
5/21/2021,1,Ruth Apa. 48,"6,576.00",6576
5/21/2021,1,Table Frame 8's,"1,635.00",1635
5/21/2021,1,Table Frame 6's,"1,585.00",1585
5/21/2021,14,Dining Chair,710,9940
5/21/2021,1,Le Bron,"13,450.00",13450
5/22/2021,2,Francia,"15,450.00",30900
5/22/2021,1,Chloe,"6,065.00",6065
5/22/2021,1,Marco,"6,065.00",6065
5/22/2021,3,Jillienne,"7,015.00",21045
5/22/2021,1,Corner Adams w/ Stool,"14,250.00",14250
5/22/2021,1,Dining 6's,"6,960.00",6960
5/22/2021,1,Dining 8's,"8,445.00",8445
5/22/2021,1,Lalie,"11,700.00",11700
5/22/2021,2,Esmeralda 4's,"10,335.00",20670
5/22/2021,1,Imelda 4's A,"10,500.00",10500
5/24/2021,1, Foam 60x6 Uratex,"5,000.00",5000
5/24/2021,1,SB 54x75,"3,135.00",3135
5/24/2021,1,Dining 8's,"9,760.00",9760
5/24/2021,1,Center w/ 3/8,"1,744.00",1744
5/26/2021,2,Lalie,"13,200.00",26400
5/26/2021,1,OT 20x40,"2,910.00",2910
5/26/2021,1,Dining 6's,"7,800.00",7800
5/26/2021,1,Spanish ,"10,500.00",10500
5/29/2021,15,Dining Chair ,"1,030.75",15461.25
5/29/2021,1,Esmeralda 4's,"12,112.50",12112.5
06/02/2021,3,Dining 8's,"8,445.00",25335
06/02/2021,3,Dining 6's,"6,960.00",20880
06/02/2021,1,DD 36x48,"4,835.00",4835
06/02/2021,1,DD 36x54,"5,035.00",5035
06/02/2021,1,Chloe,"6,065.00",6065
06/02/2021,1,Cholo,"6,065.00",6065
06/02/2021,1,Francia,"15,450.00",15450
06/02/2021,1,Lalie,"11,700.00",11700
06/02/2021,1,Marco,"6,065.00",6065
06/02/2021,1,Dave 60,"8,380.00",8380
06/02/2021,1,Liera 60,"9,180.00",9180
06/02/2021,2,Imelda 4's,"10,185.00",20370
06/03/2021,1,Jonas,"7,000.00",7000
06/03/2021,1,Dining Table 6's,"7,880.00",7880
06/03/2021,2,SB 36x75,"3,200.00",6400
06/03/2021,1,SB 48x75,"3,560.00",3560
06/03/2021,1,SB 54x75,"3,960.00",3960
06/03/2021,1,SB 60x75,"4,280.00",4280
06/04/2021,2,Dining 4's,"5,410.00",10820
06/04/2021,5,Dining 6's,"6,960.00",34800
06/04/2021,3,Dining 8's,"8,445.00",25335
06/04/2021,5,Dining 6's,"6,960.00",34800
06/04/2021,6,Dining 8's,"8,445.00",50670
06/04/2021,1,Francia,"15,450.00",15450
06/04/2021,2,Michelle,"9,115.00",18230
06/04/2021,2,Hazelle,"9,015.00",18030
06/04/2021,1,Wennylen,"9,115.00",9115
06/04/2021,1,Celine,"9,115.00",9115
06/04/2021,24,Dining Chair,710,17040
06/04/2021,2,Francia,"15,450.00",30900
06/04/2021,1,Le Bron,"13,450.00",13450
06/04/2021,1,Clarisse,"10,050.00",10050
06/04/2021,3,SB 36x75,"2,685.00",8055
06/04/2021,3,SB 48x75,"2,985.00",8955
06/04/2021,3,SB 54x75,"3,135.00",9405
06/04/2021,2,DD 36x48,"4,835.00",9670
06/04/2021,2,DD 36x54,"5,035.00",10070
06/04/2021,2,DD 36x60,"5,385.00",10770
06/04/2021,14,Dining Set 6's,"6,960.00",97440
06/04/2021,1,Table 6's,"1,585.00",1585
06/04/2021,2,Dining 6's,"6,960.00",13920
06/04/2021,1,Table 8's,"1,635.00",1635
06/04/2021,1,Imelda 4's A,"9,135.00",9135
06/04/2021,1,Spanish 4's A,"9,135.00",9135
06/05/2021,1,Francia,"15,450.00",15450
06/05/2021,1,Lalie,"11,700.00",11700
06/05/2021,4,Imelda 4's A,"9,135.00",36540
06/05/2021,2,La Elegancia,"10,635.00",21270
06/05/2021,5,Side Table w/ 3/8,"1,389.04",6945.2
06/05/2021,1,SB 36x75,"3,104.00",3104
06/05/2021,2,SB 48x75,"3,453.20",6906.4
06/05/2021,2,SB 54x75,"3,841.20",7682.4
06/05/2021,1,SB 60x75,"4,151.60",4151.6
06/12/2021,4,Francia,"17,415.00",69660
06/12/2021,1,Clarisse,"1,188.00",1188
06/12/2021,2,khim,"10,125.00",20250
06/12/2021,1,Celine,"9,679.50",9679.5
06/12/2021,1,Michelle,"9,679.50",9679.5
06/12/2021,2,Wennylen,"9,679.50",19359
06/12/2021,2,Ayen,"9,679.50",19359
06/12/2021,1,Jillienne,"7,978.50",7978.5
06/12/2021,1,Sophia,"7,618.05",7618.05
06/12/2021,4,DD 36x60,"6,419.25",25677
06/12/2021,2,SB 60x75,"4,616.00",9232
06/12/2021,1,Lexie,"11,440.00",11440
06/12/2021,1,Corner Adams w/ Stool,"16,560.00",16560
06/12/2021,3,Shiela,"11,720.00",35160
06/12/2021,2,Nicole,"12,000.00",24000
06/12/2021,3,Foam 48x4,"2,600.00",7800
06/12/2021,2,Foam 60x6,"3,864.00",7728
06/12/2021,2,Foam 54x6,"3,404.00",6808
06/12/2021,2,Foam 48x6,"3,276.00",6552
6/13/2021,1,Marco,"6,960.00",6960
6/13/2021,1,Chloe,"6,960.00",6960
6/13/2021,1,Chelsea,"6,960.00",6960
6/13/2021,2,Dining 8's,"10,496.00",20992
6/13/2021,3,SB 36x75,"3,488.00",10464
6/13/2021,3,SB 48x75,"3,960.00",11880
6/13/2021,2,SB 54x75,"4,336.00",8672
6/13/2021,3,DD 36x60,"6,960.00",20880
6/13/2021,5,Side w/ 3/8 TG,"1,704.00",8520
 06/14/2021,1,SB 36x75,"2,685.00",2685
 06/14/2021,2,SB 48x75,"2,985.00",5970
 06/14/2021,2,SB 54x75,"3,135.00",6270
 06/14/2021,2,SB 60x75,"3,235.00",6470
 06/14/2021,1,DD 36x54,"5,035.00",5035
 06/14/2021,1,Garnet,"6,175.00",6175
 06/14/2021,1,Dave 60,"8,380.00",8380
 06/14/2021,1,Eleazar,"5,575.00",5575
 06/14/2021,1,Mikas,"7,930.00",7930
 06/14/2021,1,Platera 60,"8,580.00",8580
6/14/2021,2,Dining 6's,"7,486.00",14972
6/14/2021,1,Dining 4's,"6,015.00",6015
 06/14/2021,1,Center w/ 3/8 TG,"1,031.25",1031.25
6/16/2021,1,Le Bron,"15,040.00",15040
6/16/2021,1,Lalie,"13,200.00",13200
6/16/2021,1,Hazelle,"9,560.00",9560
6/16/2021,1,Adams,"12,320.00",12320
6/16/2021,1,Ayesha,"16,960.00",16960
6/16/2021,3,Marco,"6,520.00",19560
6/16/2021,3,Chloe,"6,520.00",19560
6/16/2021,1,Dave,"9,120.00",9120
6/16/2021,1,Madrid,"9,720.00",9720
6/16/2021,1,Paul 60,"9,800.00",9800
6/16/2021,2,SB 48x75,"3,560.00",7120
6/16/2021,1,SB 60x75,"4,280.00",4280
6/16/2021,1,DD 36x36,"5,500.00",5500
6/16/2021,1,DD 36x48,"5,700.00",5700
6/16/2021,1,DD 36x54,"6,060.00",6060
6/16/2021,2,Anita,"6,320.00",12640
6/17/2021,1,SB 48x75,"3,579.00",3579
6/19/2021,2,Imelda 4's A,"9,135.00",18270
6/19/2021,2,DD 36x36,"4,685.00",9370
6/19/2021,2,DD 36x48,"4,835.00",9670
6/19/2021,6,SB 36x75,"2,685.00",16110
6/19/2021,6,SB 48x75,"2,985.00",17910
6/19/2021,6,SB 60x75,"3,235.00",19410
6/19/2021,2,SB 54x75,"3,135.00",6270
6/19/2021,2,DD 36x36,"4,685.00",9370
6/19/2021,1,Imelda 4's A,"9,135.00",9135
6/19/2021,2,Francia,"15,450.00",30900
6/19/2021,1,Ayesha,"14,500.00",14500
6/19/2021,1,Clarisse,"10,050.00",10050
6/19/2021,1,le Bron,"13,450.00",13450
6/21/2021,1,Steffany,"12,500.00",12500
6/21/2021,1,Khim,"8,850.00",8850
6/21/2021,1,Clarisse,"10,050.00",10050
6/21/2021,1,Cholo,"6,065.00",6065
6/21/2021,1,Chelsea,"6,065.00",6065
6/21/2021,1,Ayesha,"14,500.00",14500
6/21/2021,1,Michelle,"9,115.00",9115
6/21/2021,1,Marco,"6,065.00",6065
6/21/2021,1,Lalie,"11,700.00",11700
6/21/2021,1,California,"14,300.00",14300
6/21/2021,1,Angeline,"9,065.00",9065
6/21/2021,1,Bahamas 60,"7,530.00",7530
6/21/2021,1,Montreal 60,"7,580.00",7580
6/21/2021,2,Dining 8's,"8,445.00",16890
6/21/2021,2,Dining 6's,"6,960.00",13920
6/21/2021,10,Center w/ 3/8 TG,"1,395.00",13950
6/21/2021,3,Side Table w/ 3/8,"1,095.00",3285
6/22/2021,1,Center Table only,750,750
6/26/2021,1,Dining 6's,"7,880.00",7880
6/26/2021,1,SB 48x75 FC,"3,560.00",3560
6/26/2021,1,DD 36x36,"4,685.00",4685
6/26/2021,1,SB 54x75,"4,835.00",4835
6/26/2021,2,SB 48x75,"2,985.00",5970
6/26/2021,3,Dining 6's,"6,960.00",20880
6/26/2021,2,Dining 8's,"8,445.00",16890
6/26/2021,1,Wennylen,"9,115.00",9115
6/26/2021,1,SB 54x75,"3,135.00",3135
6/26/2021,2,DD 36x36,"4,685.00",9370
6/26/2021,1,Jonas,"6,575.00",6575
6/26/2021,1,Ruth,"6,575.00",6575
6/26/2021,1,Imelda 4's A,"9,135.00",9135
6/26/2021,1,DD 36x60,"5,385.00",5385
6/29/2021,2,Angeline,"9,065.00",18130
6/30/2021,2,Aleck,"11,000.00",22000
6/30/2021,1,Brewster,"10,550.00",10550
6/30/2021,2,shiela,"10,400.00",20800
6/30/2021,2,Justine,"9,400.00",18800
6/30/2021,1,Chollo,"6,065.00",6065
6/30/2021,1,Chelsea,"6,065.00",6065
6/30/2021,1,Marco,"6,065.00",6065
6/30/2021,1,Chloe,"6,065.00",6065
07/01/2021,1,Ruth apa 48,"7,012.50",7012.5
07/01/2021,1,Michelle,"8,962.50",8962.5
07/01/2021,1,Wennylen,"8,962.50",8962.5
07/01/2021,3,center w/ 3/8,"4,905.00",14715
07/01/2021,1,SB 48x75,"3,690.00",3690
07/03/2021,2,SB 54x75,"3,762.00",7524
07/03/2021,1,Sb 48x75,"3,382.00",3382
07/03/2021,1,Dining 6's,"7,486.00",7486
07/03/2021,1,Ruth apa 48,"6,650.00",6650
07/04/2021,1,Imelda 4's A,"10,185.00",10185
07/05/2021,2,Marco,"6,065.00",12130
07/05/2021,2,Cholo,"6,065.00",12130
07/05/2021,2,Chloe,"6,065.00",12130
07/05/2021,4,Jillienne,"7,015.00",28060
07/05/2021,2,Corner Adams w/ Stool,"14,250.00",28500
07/05/2021,3,Jonas ,"6,575.00",19725
07/05/2021,2,Ruth apa 48,"6,575.00",13150
07/05/2021,1,Platera 48,"6,975.00",6975
07/05/2021,4,Bar Counter 60,"10,745.00",42980
07/05/2021,2,La Elegancia,"10,635.00",21270
07/05/2021,3,DD 36x36,"4,685.00",14055
07/05/2021,2,DD 36x48,"4,835.00",9670
07/05/2021,1,DD 36x54,"5,035.00",5035
07/05/2021,5,SB 36x75,"2,685.00",13425
07/05/2021,2,SB  48x75,"2,985.00",5970
07/05/2021,2,SB 54x75,"3,135.00",6270
07/05/2021,1,SB 60x75,"3,235.00",3235
07/06/2021,1,Cholo,"6,065.00",6065
07/06/2021,1,Marco,"6,065.00",6065
07/06/2021,1,Jillienne,"7,015.00",7015
07/06/2021,1,Corner Adams w/ Stool,"14,250.00",14250
07/06/2021,1,DD 36x36,"4,685.00",4685
07/06/2021,1,SB 48x75,"2,985.00",2985
07/06/2021,1,SB 54x75,"3,135.00",3135
07/06/2021,1,Sb 60x75,"3,235.00",3235
07/06/2021,1,Jonas ,"6,575.00",6575
07/06/2021,1,Ruth apa 48,"6,575.00",6575
07/06/2021,1,Platera 48,"6,975.00",6975
07/06/2021,2,Bar Counter 60,"10,745.00",21490
07/06/2021,1,Platera 60,"8,580.00",8580
07/06/2021,3,SB 60x75,"3,235.00",9705
07/06/2021,2,Dining 6's,"6,960.00",13920
07/06/2021,3,Dining 4's,"5,410.00",16230
07/07/2021,1,Chloe,"6,065.00",6065
07/07/2021,1,Choloe,"6,065.00",6065
07/07/2021,1,DD 36x48,"4,835.00",4835
07/07/2021,1,DD 36x54,"5,035.00",5035
07/07/2021,2,Sb 36x75,"2,685.00",5370
07/07/2021,1,SB 48x75,"2,985.00",2985
07/07/2021,1,SB 54x75,"3,135.00",3135
07/09/2021,1,Francia,"15,450.00",15450
07/12/2021,1,Francia,"15,450.00",15450
07/12/2021,1,le Bron,"13,450.00",13450
7/13/2021,1,bella,"8,962.50",8962.5
7/13/2021,1,celine,"9,525.00",9525
7/13/2021,1,Wennylen,"9,562.50",9562.5
7/13/2021,1,Chelsea,"6,525.00",6525
7/13/2021,1,Chloe,"6,525.00",6525
7/13/2021,1,Ruth apa 48,"6,575.00",6575
7/13/2021,1,La Elegancia,"10,635.00",10635
7/14/2021,6,dining 6's,"7,978.50",47871
7/14/2021,6,dining 8's,"9,882.00",59292
7/14/2021,12,Side w/ 3/8,"1,449.90",17398.8
7/14/2021,1,DD 36x60,"6,419.25",6419.25
7/14/2021,6,SB 36x75,"3,240.00",19440
7/14/2021,6,SB 48x75,"3,604.50",21627
7/14/2021,1,SB 60x75,"4,333.50",4333.5
7/14/2021,2,Michelle,"9,679.50",19359
7/14/2021,1,Angeline,"9,679.50",9679.5
7/14/2021,1,Ayen,"9,679.50",9679.5
7/14/2021,1,Jilliene,"7,978.50",7978.5
7/14/2021,1,Chloe,"6,601.50",6601.5
7/14/2021,1,Chelsea,"6,601.50",6601.5
7/14/2021,1,Marco,"6,601.50",6601.5
7/14/2021,1,Cholo,"6,601.50",6601.5
7/14/2021,1,Ayesha,"17,172.00",17172
7/14/2021,3,lalie,"13,365.00",40095
7/14/2021,4,Francia,"17,415.00",69660
7/14/2021,1,bella,"9,477.00",9477
7/14/2021,1,Avor,"14,256.00",14256
7/14/2021,3,Imelda 4's A,"10,449.00",31347
7/14/2021,4,Dining 6's,"7,800.00",31200
7/14/2021,1,Dining 4's,"8,020.00",8020
7/15/2021,1,Cholo,"6,357.00",6357
7/15/2021,1,Chelsea,"6,357.00",6357
7/15/2021,1,Marco,"6,357.00",6357
7/15/2021,1,Chloe,"6,357.00",6357
7/15/2021,1,Clarisse,"10,296.00",10296
7/16/2021,2,SB 36x75,"3,262.50",6525
7/16/2021,3,SB 48x75,"3,690.00",11070
7/16/2021,3,SB 54x75,"4,065.00",12195
7/16/2021,3,DD 36x36,"5,550.00",16650
7/16/2021,1,DD 36x48,"6,037.50",6037.5
7/21/2021,2,Dining 4's,"5,410.00",10820
7/21/2021,2,SB 36x75,"2,685.00",5370
7/21/2021,2,SB 60x75,"3,235.00",6470
7/21/2021,1,DD 36x36,"4,685.00",4685
